"Name","Class","No. Lines","ABC Score","CC","Probability","IF","Spectrum"
"address","Post","3","0.0","1.0","100.0%","68","2679"
"admin","UserPresenter","3","0.0","1.0","100.0%","68","2679"
"admin?","User","0","0.0","0.0","100.0%","68","2679"
"as_collection","BasePresenter","3","0.0","1.0","100.0%","68","2679"
"aspects","UserPresenter","7","10.1980390271856","2.0","100.0%","68","2679"
"atom_url","Person","0","0.0","0.0","100.0%","68","2679"
"configured_services","UserPresenter","3","0.0","1.0","100.0%","68","2679"
"construct_full_name","Profile","0","0.0","0.0","100.0%","68","2679"
"construct_shareable_from_others_query","User::Querying","0","0.0","0.0","100.0%","68","2679"
"construct_shareable_from_self_query","User::Querying","0","0.0","0.0","100.0%","68","2679"
"current_color_theme","UsersHelper","5","0.0","2.0","100.0%","68","2679"
"current_user_atom_tag","LayoutHelper","5","0.0","2.0","100.0%","68","2679"
"default_description","MetaDataHelper","3","0.0","1.0","100.0%","68","2679"
"default_image_url","MetaDataHelper","3","0.0","1.0","100.0%","68","2679"
"default_serializer_options","ApplicationController","3","0.0","1.0","100.0%","68","2679"
"default_title","MetaDataHelper","3","0.0","1.0","100.0%","68","2679"
"downcase_diaspora_handle","Person","3","11.1803398874989","2.0","100.0%","68","2679"
"encryption_key","User","0","0.0","0.0","100.0%","68","2679"
"ensure_http_referer_is_set","ApplicationController","4","0.0","1.0","100.0%","68","2679"
"filename","ExportedPhotos","3","0.0","2.0","100.0%","68","2679"
"filename","ExportedUser","3","0.0","2.0","100.0%","68","2679"
"first_name","Person","0","0.0","0.0","100.0%","68","2679"
"fix_profile","Person","0","0.0","0.0","100.0%","68","2679"
"force_tablet_html","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"general_metas","MetaDataHelper","10","0.0","1.0","100.0%","68","2679"
"get_javascript_strings_for","LanguageHelper","9","0.0","2.0","100.0%","68","2679"
"gon_set_appconfig","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"gon_set_current_user","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"gon_set_preloads","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"guard_unconfirmed_email","User","0","0.0","0.0","100.0%","68","2679"
"has_hidden_shareables_of_type?","User","0","0.0","0.0","100.0%","68","2679"
"hidden_shareables","User","0","0.0","0.0","100.0%","68","2679"
"image_url","Profile","13","11.3578166916005","7.0","100.0%","68","2679"
"include_color_theme","LayoutHelper","4","0.0","1.0","100.0%","68","2679"
"initialize","Person","0","0.0","0.0","100.0%","68","2679"
"initialize","UserPresenter","4","0.0","1.0","100.0%","68","2679"
"jquery_include_tag","ApplicationHelper","14","20.0997512422418","3.0","100.0%","68","2679"
"load_javascript_locales","LayoutHelper","7","14.0356688476182","1.0","100.0%","68","2679"
"local?","Person","0","0.0","0.0","100.0%","68","2679"
"max_tags","Profile","0","0.0","0.0","100.0%","68","2679"
"max_time","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"meta_tag","MetaDataHelper","6","0.0","3.0","100.0%","68","2679"
"metas_tags","MetaDataHelper","4","0.0","2.0","100.0%","68","2679"
"mobile_switch","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"moderator","UserPresenter","3","0.0","1.0","100.0%","68","2679"
"moderator?","User","0","0.0","0.0","100.0%","68","2679"
"multi","StreamsController","7","12.0415945787923","3.0","100.0%","68","2679"
"name","Person","0","0.0","0.0","100.0%","68","2679"
"new","BasePresenter","5","0.0","2.0","100.0%","68","2679"
"no_person_with_same_username","User","0","0.0","0.0","100.0%","68","2679"
"notifications_count","UserPresenter","4","0.0","1.0","100.0%","68","2679"
"og_prefix","MetaDataHelper","3","0.0","1.0","100.0%","68","2679"
"other_person_with_same_guid","Person","0","0.0","0.0","100.0%","68","2679"
"owner_xor_pod","Person","0","0.0","0.0","100.0%","68","2679"
"page_title","LayoutHelper","4","0.0","2.0","100.0%","68","2679"
"perform_export_photos!","User","0","0.0","0.0","100.0%","68","2679"
"person_image_tag","PeopleHelper","5","0.0","3.0","100.0%","68","2679"
"photos;","Post","0","0.0","0.0","100.0%","68","2679"
"pod_name","ApplicationHelper","3","0.0","1.0","100.0%","68","2679"
"poll","Post","3","0.0","1.0","100.0%","68","2679"
"post_opts","Service","3","0.0","1.0","100.0%","68","2679"
"posts_from_aspects_query","User::Querying","0","0.0","0.0","100.0%","68","2679"
"prep_opts","User::Querying","0","0.0","0.0","100.0%","68","2679"
"redirect_unless_admin","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"redirect_unless_moderator","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"remote?","Person","0","0.0","0.0","100.0%","68","2679"
"remove_invalid_unconfirmed_emails","User","0","0.0","0.0","100.0%","68","2679"
"root;","Post","0","0.0","0.0","100.0%","68","2679"
"rtl?","LanguageHelper","4","0.0","1.0","100.0%","68","2679"
"self.diaspora_id_host","User","0","0.0","0.0","100.0%","68","2679"
"self.excluding_blocks","Post","0","0.0","0.0","100.0%","68","2679"
"self.excluding_hidden_content","Post","0","0.0","0.0","100.0%","68","2679"
"self.excluding_hidden_shareables","Post","0","0.0","0.0","100.0%","68","2679"
"self.for_a_stream","Post","0","0.0","0.0","100.0%","68","2679"
"self.is_admin?","Role","0","0.0","0.0","100.0%","68","2679"
"self.moderator?","Role","0","0.0","0.0","100.0%","68","2679"
"self.name_from_attrs","Person","0","0.0","0.0","100.0%","68","2679"
"self.public_tag_stream","StatusMessage","0","0.0","0.0","100.0%","68","2679"
"self.tag_stream","StatusMessage","0","0.0","0.0","100.0%","68","2679"
"self.tag_text_regexp","ActsAsTaggableOn","0","0.0","0.0","100.0%","68","2679"
"services","UserPresenter","3","0.0","1.0","100.0%","68","2679"
"set_current_language","User","0","0.0","0.0","100.0%","68","2679"
"set_default_color_theme","User","0","0.0","0.0","100.0%","68","2679"
"set_diaspora_header","ApplicationController","6","11.0","4.0","100.0%","68","2679"
"set_grammatical_gender","ApplicationController","0","0.0","0.0","100.0%","68","2679"
"set_locale","ApplicationController","6","19.2353840616713","2.0","100.0%","68","2679"
"show","HomeController","19","28.0356915377524","10.0","100.0%","68","2679"
"site_url","MetaDataHelper","3","0.0","1.0","100.0%","68","2679"
"stream_responder","StreamsController","9","16.0312195418814","2.0","100.0%","68","2679"
"strip_and_downcase_username","User","0","0.0","0.0","100.0%","68","2679"
"strip_names","Profile","0","0.0","0.0","100.0%","68","2679"
"tag_string","Profile","0","0.0","0.0","100.0%","68","2679"
"to_json","UserPresenter","12","16.0312195418814","1.0","100.0%","68","2679"
"to_param","Person","0","0.0","0.0","100.0%","68","2679"
"ugly_select_clause","User::Querying","0","0.0","0.0","100.0%","68","2679"
"unconfirmed_email_quasiuniqueness","User","0","0.0","0.0","100.0%","68","2679"
"unread_message_count","User","0","0.0","0.0","100.0%","68","2679"
"unread_messages_count","UserPresenter","4","0.0","1.0","100.0%","68","2679"
"unread_notifications","User","3","10.0498756211209","1.0","100.0%","68","2679"
"url_to","Person","0","0.0","0.0","100.0%","68","2679"
"username","Person","0","0.0","0.0","100.0%","68","2679"
"valid_birthday","Profile","0","0.0","0.0","100.0%","68","2679"
"visible_ids_from_sql","User::Querying","5","0.0","1.0","100.0%","68","2679"
"visible_private_shareables","User::Querying","0","0.0","0.0","100.0%","68","2679"
"visible_shareable_ids","User::Querying","3","0.0","1.0","100.0%","68","2679"
"visible_shareable_sql","User::Querying","7","14.0356688476182","1.0","100.0%","68","2679"
"visible_shareables_query","User::Querying","0","0.0","0.0","100.0%","68","2679"
"person_image_link","PeopleHelper","9","21.2367605815953","5.0","88.4785%","61","2679"
"person_link_class","PeopleHelper","5","0.0","4.0","88.4785%","61","2679"
"perform","Workers","0","0.0","0.0","78.4961%","56","2679"
"initialize","BasePresenter","4","0.0","1.0","76.4517%","56","2679"
"absolute_root","Reshare","5","0.0","2.0","74.9927%","54","2679"
"error_messages_for","ErrorMessagesHelper","9","20.2237484161567","2.0","72.8183%","53","2679"
"pod_version","ApplicationHelper","3","0.0","1.0","71.2632%","50","2679"
"changelog_url","ApplicationHelper","6","10.0498756211209","3.0","71.1465%","49","2679"
"flash_messages","LayoutHelper","7","0.0","1.0","71.1465%","49","2679"
"source_url","ApplicationHelper","4","0.0","2.0","71.1465%","49","2679"
"translation_missing_warnings","LayoutHelper","5","0.0","2.0","71.1465%","49","2679"
"error_messages","ErrorMessagesHelper","0","0.0","0.0","70.9364%","51","2679"
"generate_token","InvitationCode","5","0.0","2.0","69.85%","50","2679"
"invitation_code","User","0","0.0","0.0","69.85%","50","2679"
"set_default_invite_count","InvitationCode","4","0.0","2.0","69.85%","50","2679"
"to_param","InvitationCode","3","0.0","1.0","69.85%","50","2679"
"index","NotificationsController","28","51.1663952218641","7.0","69.7141%","49","2679"
"types","NotificationsController","11","0.0","1.0","69.7141%","49","2679"
"default_serializer_options","NotificationsController","6","0.0","1.0","69.5989%","48","2679"
"render_as_json","NotificationsController","8","0.0","1.0","69.5989%","48","2679"
"all_aspects","ApplicationController","4","0.0","1.0","68.6208%","48","2679"
"all_aspects_selected?","PublisherHelper","4","0.0","3.0","68.6208%","48","2679"
"all_services_connected?","ApplicationHelper","3","0.0","1.0","68.6208%","48","2679"
"aspect_selected?","PublisherHelper","4","0.0","3.0","68.6208%","48","2679"
"bookmarklet_code","ApplicationHelper","5","0.0","1.0","68.6208%","48","2679"
"donations_enabled?","ApplicationHelper","6","0.0","3.0","68.6208%","48","2679"
"invite_link","InvitationCodesHelper","4","0.0","1.0","68.6208%","48","2679"
"owner_image_link","UsersHelper","3","0.0","1.0","68.6208%","48","2679"
"post_default_aspects","User","0","0.0","0.0","68.6208%","48","2679"
"public_selected?","PublisherHelper","4","0.0","2.0","68.6208%","48","2679"
"publisher_boolean?","PublisherHelper","3","0.0","1.0","68.6208%","48","2679"
"publisher_formatted_text","InterimStreamHackinessHelper","8","0.0","3.0","68.6208%","48","2679"
"publisher_open?","PublisherHelper","3","0.0","1.0","68.6208%","48","2679"
"service_unconnected?","ApplicationHelper","4","0.0","2.0","68.6208%","48","2679"
"text=","Comment","3","0.0","1.0","67.1371%","51","2544"
"notification_types","NotificationService","3","0.0","1.0","64.2478%","48","487"
"notify","NotificationService","3","0.0","1.0","64.2478%","48","487"
"perform","Workers","0","0.0","0.0","64.2478%","48","485"
"method_missing","BasePresenter","3","0.0","1.0","63.1709%","50","2679"
"not_blocked_user","Contact","5","0.0","4.0","60.8017%","44","228"
"not_contact_for_self","Contact","4","0.0","3.0","60.8017%","44","228"
"not_contact_with_closed_account","Contact","4","0.0","3.0","60.8017%","44","228"
"contact_for","User::Querying","4","0.0","2.0","56.4081%","45","154"
"contact_for_person_id","User::Querying","3","0.0","1.0","56.4081%","45","156"
"create_references","Reference","0","0.0","0.0","55.4932%","40","2679"
"index","ContactsController","12","21.0237960416286","3.0","55.4359%","40","20"
"all_contacts_count","ApplicationController","4","0.0","1.0","55.1321%","38","8"
"contacts_by_type","ContactsController","17","15.1327459504216","6.0","55.1321%","38","8"
"my_contacts_count","ApplicationController","4","0.0","1.0","55.1321%","38","8"
"only_sharing_count","ApplicationController","4","0.0","1.0","55.1321%","38","8"
"set_up_contacts","ContactsController","6","15.0","2.0","55.1321%","38","6"
"set_up_contacts_json","ContactsController","9","19.2353840616713","2.0","55.1321%","38","8"
"diaspora_id?","PeopleController","0","0.0","0.0","54.1422%","44","75"
"contains_oembed_url_in_text?","StatusMessage","4","0.0","1.0","54.1057%","38","2679"
"contains_open_graph_url_in_text?","StatusMessage","4","0.0","2.0","54.1057%","38","2679"
"dispatch_post","User","0","0.0","0.0","54.1057%","38","2679"
"presence_of_content","StatusMessage","0","0.0","0.0","54.1057%","38","2679"
"subscribers","Post","0","0.0","0.0","54.1057%","38","2679"
"text_and_photos_blank?","StatusMessage","4","0.0","2.0","54.1057%","38","2679"
"nsfw","StatusMessage","4","0.0","2.0","53.874%","38","2679"
"nsfw","Post","0","0.0","0.0","53.874%","38","2679"
"build_post","User","0","0.0","0.0","53.8239%","36","2679"
"base_hash","PersonPresenter","8","0.0","1.0","53.8023%","45","92"
"base_hash_with_contact","PersonPresenter","5","0.0","3.0","53.8023%","45","92"
"current_user_person_contact","PersonPresenter","0","0.0","0.0","53.8023%","45","92"
"own_profile?","PersonPresenter","3","0.0","1.0","53.8023%","45","92"
"current_user_person_block","PersonPresenter","4","0.0","2.0","53.7382%","45","87"
"full_hash","PersonPresenter","8","11.0","4.0","53.7382%","45","87"
"is_blocked?","PersonPresenter","0","0.0","0.0","53.7382%","45","87"
"relationship","PersonPresenter","9","0.0","4.0","53.7382%","45","87"
"block_for","User::Querying","4","0.0","2.0","53.6757%","44","76"
"find_person","PeopleController","0","0.0","0.0","53.2723%","44","51"
"self.find_from_guid_or_username","Person","0","0.0","0.0","53.2723%","44","54"
"authenticate_if_remote_profile!","PeopleController","0","0.0","0.0","53.2082%","44","41"
"person_stream","PeopleController","0","0.0","0.0","53.2082%","44","19"
"show","PeopleController","16","24.0","3.0","53.2082%","44","30"
"mark_corresponding_notifications_read","PeopleController","0","0.0","0.0","53.1457%","43","24"
"posts_from","User::Querying","3","0.0","1.0","53.1457%","43","18"
"default_headers","NotificationMailers","0","0.0","0.0","53.1094%","41","154"
"headers","NotificationMailers","0","0.0","0.0","53.1094%","41","154"
"initialize","NotificationMailers","0","0.0","0.0","53.1094%","41","154"
"log_mail","NotificationMailers","0","0.0","0.0","53.1094%","41","154"
"name_and_address","NotificationMailers","0","0.0","0.0","53.1094%","41","154"
"perform","Workers","0","0.0","0.0","53.1094%","41","81"
"send_notification","Notifier","8","0.0","1.0","53.1094%","41","154"
"with_recipient_locale","Notifier","3","0.0","1.0","53.1094%","41","154"
"with_recipient_locale","NotificationMailers","0","0.0","0.0","53.1094%","41","154"
"email_the_user","Notification","3","0.0","1.0","52.5296%","40","114"
"mail","User","0","0.0","0.0","52.5296%","40","109"
"has_contact?","PersonPresenter","0","0.0","0.0","50.5279%","44","86"
"person_is_following_current_user","PersonPresenter","6","0.0","3.0","50.4637%","44","79"
"self.diaspora_initialize","Post","0","0.0","0.0","48.7368%","33","2679"
"base_hash","ContactPresenter","5","0.0","1.0","48.3446%","41","63"
"full_hash","ContactPresenter","5","0.0","1.0","48.3446%","41","62"
"aspects_from_ids","User","0","0.0","0.0","48.3278%","32","2679"
"contact_hash","PersonPresenter","3","0.0","1.0","47.8668%","41","49"
